Job_ID,keywords
3441081436,Python
3441081436,R
3441081436,Power BI
3441081436,Tableau
3347033094,Python
3347033094,Microsoft 365
3411947826,Python
3411947826,JavaScript
3411947826,Snowflake
3411947826,Databricks
3410796143,Python
3410796143,JavaScript
3410796143,MySQL
3410796143,PostgreSQL
3410796143,MongoDB
3410796143,access
3429974005,Python
3429974005,JavaScript
3444241404,Oracle
3364342415,JavaScript
3364342415,access
3364342415,Power BI
3364342415,Tableau
3364493525,Google Workspace
3364493525,access
3364493525,Power BI
3364493525,Tableau
3364493525,ETL
3423523223,access
3423523223,Snowflake
3423523223,Looker
3445229637,Python
3449218640,SAS
3441402428,Microsoft SQL Server
3441402428,ETL
3441402428,SAS
3437046909,Python
3437046909,AWS
3437046909,access
3437046909,SQL Server
3437046909,ETL
3445000608,Access
3445000608,Microsoft Access
3443338421,Python
3443338421,AWS
3443338421,GCP
3443338421,Tableau
3434064350,Python
3434064350,R
3434064350,access
3434064350,Microsoft Access
3434064350,Tableau
3434064350,Looker
3325611699,Python
3325611699,Snowflake
3396158841,Python
3396158841,Oracle database
3396158841,SQL Server
3396158841,PostgreSQL
3396158841,Redshift
3396158841,Tableau
3396158841,ETL
3443926358,Microsoft Access
3433181149,Python
3433181149,R
3433181149,AWS
3433181149,SQL Server
3433181149,Tableau
3415234138,Python
3440551802,python
3440551802,Python
3440551802,AWS
3440301736,Python
3440301736,Tableau
3428158949,R
3428158949,Python
3428158949,access
3443399163,Python
3443399163,R
3443399163,Tableau
3443399163,ETL
3443399163,Docker
3443399163,Pandas
3447077208,Tableau
3441350775,R
3441350775,Python
3441350775,SAS
3441350775,Power BI
3445073619,Access
3415209432,Access
3415209432,access
3426453445,Access
3426453445,access
3426453445,Tableau
3426453445,SAS
3415234147,Python
3449391759,Python
3449391759,access
3449391759,Databricks
3449391759,ETL
3449391759,Tableau
3254172311,Python
3254172311,SQL Server
3428715052,R
3428715052,SAS
3428715052,Tableau
3426452932,access
3426452932,SAS
3436891290,R
3436891290,Python
3436891290,Javascript
3436891290,Tableau
3436891290,ETL
3447830406,Access
3354843222,R
3354843222,SQL Server
3354843222,MySQL
3354843222,Oracle
3354843222,SAS
3343528287,R
3343528287,Python
3343528287,SAS
3451233336,access
3451233336,Redshift
3451233336,ETL
3396213044,R
3396213044,Python
3396213044,Tableau
3435635293,R
3435635293,Python
3437099108,Access
3437099108,SQL Server
3437099108,Tableau
3312984127,access
3224293802,R
3224293802,SQL Server
3224293802,MySQL
3224293802,Oracle
3224293802,SAS
3424773386,Microsoft Teams
3448777127,Python
3448777127,R
3448777127,Amazon Web Services
3448777127,Pandas
3443019230,access
3443019230,Tableau
3443019230,ETL
3443309973,R
3443309973,Power BI
3443309973,Tableau
3433162844,Oracle
3433162844,Access
3433162844,Power BI
3442093264,access
3442093264,Tableau
3229928278,Power BI
3300557671,Python
3300557671,velocity
3300557671,Snowflake
3300557671,Tableau
3407673251,CDB
3428897013,ACCESS
3427637787,Python
3427637787,Access
3427637787,access
3427637787,Tableau
3416527259,Python
3416527259,R
3416527259,access
3416527259,Power BI
3415265084,Oracle Database
3415265084,Snowflake
3441524989,access
3441524989,ETL
3309505555,Tableau
3435755908,access
3434995377,python
3434995377,tableau
3434995377,Tableau
3443003875,Python
3443003875,Snowflake
3442384280,Python
3442384280,Tableau
3438329333,R
3438329333,Oracle
3438329333,mySQL
3438329333,ETL
3438329333,Tableau
3438329333,SAS
3325611825,Looker
3438940885,access
3438940885,Power BI
3447261811,Python
3447261811,Databricks
3447261811,Tableau
3442388197,Oracle
3442388197,Tableau
3442388197,Power BI
3442388197,Looker
3445991560,Python
3445991560,AWS
3445991560,ETL
3445991560,Tableau
3335088701,Python
3335088701,C++
3335088701,access
3445121079,python
3445121079,PostgreSQL
3445121079,ETL
3445121079,SAS
3445196911,Snowflake
3445196911,Tableau
3443782633,Python
3443782633,AWS
3443782633,MySQL
3443782633,DataBricks
3449239893,Python
3433271810,R
3433271810,Python
3433271810,access
3433271810,Tableau
3422712626,Tableau
3422712626,Power BI
3361528052,R
3361528052,Python
3361528052,access
3361528052,Tableau
3440320537,Databricks
3440320537,GitHub
3440320537,Power BI
3440320537,ETL
3438542645,R
3438542645,Python
3438542645,access
3424164771,Python
3424164771,Tableau
3361857259,Power BI
3361857259,Tableau
3361857259,ETL
3382202639,Python
3382202639,Tableau
3382202639,pandas
3447782176,Power BI
3447782176,Databricks
3446095010,Python
3446095010,Snowflake
3446095010,Power BI
3446095010,Tableau
3443389909,Python
3443389909,sklearn
3441037973,Tableau
3443876932,Google Meet
3443876932,Tableau
3443876932,Github
3446004546,Power BI
3446004546,Tableau
3213866482,Python
3213866482,Tableau
3419013319,R
3419013319,Python
3419013319,JavaScript
3419013319,Tableau
3447517458,Power BI
3447517458,Tableau
3415231473,Python
3415231473,Microsoft Azure
3415231473,Amazon Web Services
3415231473,Numpy
3415231473,Scikit learn
3415231473,Plotly
3415231473,TensorFLow
3415231473,Tableau
3435441727,Tableau
3404025919,Looker
3369330708,R
3369330708,Python
3369330708,SAS
3375146278,Power BI
3446797583,Python
3423587171,Snowflake
3423587171,Power BI
3443450937,SAS
3442503639,R
3442503639,Microsoft SQL Server
3442503639,access
3442503639,Tableau
3416619616,R
3416619616,Python
3416619616,SAS
3363928301,Python
3363928301,Tableau
3415257309,Python
3415257309,AWS
3415257309,Tableau
3323053050,Python
3323053050,R
3323053050,AWS
3323053050,Snowflake
3323053050,Tableau
3429796607,Python
3429796607,Tableau
3429796607,Power BI
3429796607,ETL
3445641353,Python
3445641353,pandas
3445641353,matplotlib
3415259308,Microsoft Azure
3415259308,Azure Data Lake
3415259308,SQL Server
3415259308,Power BI
3436939322,Power BI
3424769991,Microsoft Teams
3415266266,ETL
3419648815,Power BI
3415249519,Power BI
3397986195,access
3417808815,Tableau
3443985781,SQL Server
3443985781,access
3438199463,access
3415248851,Power BI
3415212231,Python
3415212231,R
3415212231,GitHub
3423522297,access
3423522297,Snowflake
3423522297,Looker
3415253387,Power BI
3435359634,Python
3435359634,Databricks
3398397088,Access
3315569091,Access
3443335965,Power BI
3432070968,Tableau
3428213237,R
3428213237,Python
3428213237,access
3437424443,Access
3447635902,Python
3447635902,R
3447635902,numpy
3447635902,pandas
3447635902,matplotlib
3415259477,Power BI
3445117018,Python
3445117018,pandas
3445117018,Tableau
3445117018,Power Bi
3401754991,access
3401754991,Tableau
3401754991,Power BI
3447786642,python
3447786642,Python
3447786642,AWS
3447786642,redshift
3447786642,Snowflake
3403267843,R
3403267843,Python
3403267843,Azure Data Lake
3403267843,Velocity
3403267843,ETL
3403267843,Power BI
3403267843,Pandas
3403267843,Matplotlib
3403267843,Databricks
3419052351,Python
3419052351,Tableau
3424830539,Python
3413448675,AWS
3320009852,Tableau
3451833534,Python
3451833534,SAS
3333181714,Python
3333181714,Power BI
3333181714,Databricks
3425800652,Python
3425800652,R
3425800652,SAS
3425800652,Tableau
3425800652,QlikView
3425800652,Power BI
3417971195,python
3417971195,Power BI
3417971195,Tableau
3380020742,Python
3380020742,Power BI
3392424627,Qlikview
3392424627,Tableau
3404102572,Python
3404102572,R
3404102572,Tableau
3311462494,Tableau
3396265465,R
3396265465,Python
3396265465,Tableau
3396265465,Power BI
3387256262,R
3387256262,Python
3387256262,Tableau
3324659938,Tableau
3372741290,velocity
3278704876,access
3278704876,SAS
3438542645,R
3438542645,Python
3438542645,access
3424164771,Python
3424164771,Tableau
3361857259,Power BI
3361857259,Tableau
3361857259,ETL
3446095010,Python
3446095010,Snowflake
3446095010,Power BI
3446095010,Tableau
3441037973,Tableau
3450879064,SQL Server
3450879064,Power BI
3450879064,ETL
3452271638,SAS
3419045426,SQL Server
3419045426,Power BI
3446004546,Power BI
3446004546,Tableau
3443876932,Google Meet
3443876932,Tableau
3443876932,Github
3435441727,Tableau
3447517458,Power BI
3447517458,Tableau
3448405990,Python
3448405990,R
3448405990,AWS
3448405990,Oracle
3448405990,Power BI
3448405990,Tableau
3448405990,ETL
3213866482,Python
3213866482,Tableau
3423587171,Snowflake
3423587171,Power BI
3448416139,SAS
3375146278,Power BI
3404025919,Looker
3369330708,R
3369330708,Python
3369330708,SAS
3416619616,R
3416619616,Python
3416619616,SAS
3448449336,Oracle
3448449336,access
3448449336,Tableau
3448449336,QlikView
3454362828,R
3454362828,Python
3363928301,Python
3363928301,Tableau
3432586276,R
3432586276,Python
3432586276,SAS
3429960053,SAS
3415257309,Python
3415257309,AWS
3415257309,Tableau
3415215692,R
3415215692,Python
3415215692,Tableau
3424769991,Microsoft Teams
3415259308,Microsoft Azure
3415259308,Azure Data Lake
3415259308,SQL Server
3415259308,Power BI
3443985781,SQL Server
3443985781,access
3442785333,Python
3442785333,Power BI
3442785333,Tableau
3436939322,Power BI
3402954294,Tableau
3415266266,ETL
3419648815,Power BI
3397986195,access
3415254000,Power BI
3438199463,access
3415248851,Power BI
3442698239,Python
3442698239,R
3355817079,Python
3355817079,R
3415212231,Python
3415212231,R
3415212231,GitHub
3415253387,Power BI
3453090906,Python
3453090906,SQL Server
3453090906,Oracle
3453090906,Git
3453090906,GitHub
3453090906,Databricks
3453090906,Apache Spark
3453090906,Spark MLlib
3453090906,pandas
3453090906,numpy
3453090906,scipy
3453090906,Matplotlib
3453090906,Keras
3453090906,TensorFlow
3453090906,PyTorch
3453090906,ETL
3453090906,Tableau
3423522297,access
3423522297,Snowflake
3423522297,Looker
3398397088,Access
3453216377,PYTHON
3453216377,Python
3453216377,ETL
3453216377,GitHub
3436065673,Python
3436065673,Redis
3436065673,Elasticsearch
3436065673,ETL
3437424443,Access
